Starting..
====================
iteration 0
Starting job in nedd policy..
startTime:Sat Jan 23 15:09:30 PST 2021

# Create System:
# Done .... 
# miniMD-Reference 2.0 (MPI+OpenMP) output ...
# Run Settings: 
	# MPI processes: 2176
	# OpenMP threads: 1
	# Inputfile: in.lj.miniMD
	# Datafile: None
# Physics Settings: 
	# ForceStyle: LJ
	# Force Parameters: 1.00 1.00
	# Units: LJ
	# Atoms: 131072
	# Atom types: 4
	# System size: 53.75 53.75 53.75 (unit cells: 32 32 32)
	# Density: 0.844200
	# Force cutoff: 2.500000
	# Timestep size: 0.005000
# Technical Settings: 
	# Neigh cutoff: 2.800000
	# Half neighborlists: 1
32300 6.964540e-01 -5.668786e+00 7.391501e-01 56.749
32400 6.950363e-01 -5.666696e+00 7.469282e-01 56.966
32500 6.953862e-01 -5.667236e+00 7.454751e-01 57.215
32600 6.948448e-01 -5.666507e+00 7.473666e-01 57.455
32700 6.968718e-01 -5.669607e+00 7.322760e-01 57.690
32800 6.968516e-01 -5.669428e+00 7.357633e-01 57.902
32900 6.956363e-01 -5.667601e+00 7.512183e-01 58.113
33000 6.967564e-01 -5.669524e+00 7.279330e-01 58.327
33100 6.957268e-01 -5.667927e+00 7.456902e-01 58.546
33200 6.963458e-01 -5.668805e+00 7.361651e-01 58.725
33300 6.958220e-01 -5.668088e+00 7.435066e-01 58.907
33400 6.958172e-01 -5.668091e+00 7.409412e-01 59.103
33500 6.957304e-01 -5.668089e+00 7.363199e-01 59.298
33600 6.957991e-01 -5.668133e+00 7.346897e-01 59.495
33700 6.974295e-01 -5.670570e+00 7.259719e-01 59.699
33800 6.947636e-01 -5.666502e+00 7.482913e-01 59.910
33900 6.954852e-01 -5.667562e+00 7.443981e-01 60.117
34000 6.937397e-01 -5.665027e+00 7.512673e-01 60.330
34100 6.962372e-01 -5.668668e+00 7.401525e-01 60.523
34200 6.959233e-01 -5.668250e+00 7.417353e-01 60.701
34300 6.941414e-01 -5.665633e+00 7.530991e-01 60.895
34400 6.960211e-01 -5.668496e+00 7.386090e-01 61.104
34500 6.964184e-01 -5.669157e+00 7.296729e-01 61.302
34600 6.959431e-01 -5.668306e+00 7.424307e-01 61.487
34700 6.953134e-01 -5.667541e+00 7.421117e-01 61.671
34800 6.967431e-01 -5.669619e+00 7.324917e-01 61.864
34900 6.958919e-01 -5.668279e+00 7.425061e-01 62.073
35000 6.967455e-01 -5.669600e+00 7.388503e-01 62.276
35100 6.964580e-01 -5.669231e+00 7.309998e-01 62.492
35200 6.966937e-01 -5.669688e+00 7.375398e-01 62.692
35300 6.961090e-01 -5.668699e+00 7.377270e-01 62.890
35400 6.959339e-01 -5.668545e+00 7.391799e-01 63.091
35500 6.972177e-01 -5.670468e+00 7.287845e-01 63.302
35600 6.971571e-01 -5.670389e+00 7.268389e-01 63.502
35700 6.950111e-01 -5.667142e+00 7.440501e-01 63.697
35800 6.969311e-01 -5.669976e+00 7.348846e-01 63.894
35900 6.951000e-01 -5.667295e+00 7.442756e-01 64.097
36000 6.955372e-01 -5.667977e+00 7.433313e-01 64.308
36100 6.978145e-01 -5.671342e+00 7.227890e-01 64.501
36200 6.957827e-01 -5.668350e+00 7.383461e-01 64.677
36300 6.938223e-01 -5.665406e+00 7.485425e-01 64.856
36400 6.960807e-01 -5.668824e+00 7.360760e-01 65.023
36500 6.970409e-01 -5.670206e+00 7.272148e-01 65.207
36600 6.948079e-01 -5.667005e+00 7.427405e-01 65.407
36700 6.953237e-01 -5.667724e+00 7.416419e-01 65.602
36800 6.960306e-01 -5.668644e+00 7.409829e-01 65.780
36900 6.964607e-01 -5.669445e+00 7.374705e-01 65.976
37000 6.953518e-01 -5.667865e+00 7.478812e-01 66.153
37100 6.961749e-01 -5.669043e+00 7.369339e-01 66.352
37200 6.967888e-01 -5.670004e+00 7.349380e-01 66.543
37300 6.956576e-01 -5.668325e+00 7.389744e-01 66.728
37400 6.970149e-01 -5.670428e+00 7.285903e-01 66.915
37500 6.964948e-01 -5.669649e+00 7.338536e-01 67.095
37600 6.948336e-01 -5.667034e+00 7.456441e-01 67.293
37700 6.966661e-01 -5.670011e+00 7.353788e-01 67.487
37800 6.975774e-01 -5.671318e+00 7.260604e-01 67.678
37900 6.959813e-01 -5.668892e+00 7.363610e-01 67.874
38000 6.965850e-01 -5.669831e+00 7.362977e-01 68.071
